HouseID_EC,neighborhood_id,neighborhood_name,date_entered,entered_by,qaqc_date,qaqc_by,survey_date,survey_time,survey_time_ampm,crew,weather_sunny,weather_cloudy,weather_hot,weather_cool,weather_dry,weather_rain,single_family_home,corner_lot,no_sidewalk,property_othernotes,property_notes,houseexterior_ivy,houseexterior_paint,houseexterior_wood,houseexterior_vinyl,houseexterior_bars,houseexterior_block,houseexterior_stucco,houseexterior_other,houseexterior_other_describe,exteriorquality_high,exteriorquality_medium,exteriorquality_low,yardmaintenance_high,yardmaintenance_medium,yardmaintenance_low,yardorderliness_high,yardorderliness_medium,yardorderliness_low,yardquality_notes,lawn_present,lawn_patchiness,lawn_percent_living,lawn_percent_dead,lawn_percent_weeds,lawn_percent_bare,lawn_percent_other,lawn_other_description,lawngrasscolor_percent_verygreen,lawngrasscolor_percent_modgreen,lawngrasscolor_percent_greenyellow,lawngrasscolor_percent_yellow,lawngrasscolor_percent_brown,lawnallcolor_percent_verygreen,lawnallcolor_percent_medgreen,lawnallcolor_percent_greenyellow,lawnallcolor_percent_yellow,lawnallcolor_percent_brown,lawn_quality,lawn_notes,lawn_edges_trimmed,lawn_recently_mowed,grass_height_cm,weed_height_cm,lawn_weeds_none,lawn_weeds_few,lawn_weeds_some,lawn_weeds_numerous,lawn_weeds_throughout,xeric_weeds_none,xeric_weeds_few,xeric_weeds_some,xeric_weeds_numerous,xeric_weeds_throughout,other_weedy_areas,other_weedy_areas_description,tree_pruning_evidence,tree_pruning_evidence_notes,shrub_pruning_evidence,shrub_pruning_evidence_notes,view_streettrees,view_streettree_viewshed_quantity,view_streettree_viewshed_species,view_streettree_viewshed_height_m,view_streettree_house_quantity,view_streettree_house_species,view_streettree_house_height_m,view_desertpark,view_mesicpark,view_commercial,view_industrial,view_multifamily,view_highway,view_school,view_none,view_notes,view_neighbor_left,view_neighbor_right,view_neighbor_acrossst,view_neighbor_acrossleft,view_neighbor_acrossright,fence_front_wood_height,fence_front_wood_gate,fence_backside_wood_height,fence_backside_wood_gate,fence_front_cement_height,fence_front_cement_gate,fence_backside_cement_height,fence_backside_cement_gate,fence_front_chainlink_height,fence_front_chainlink_gate,fence_backside_chainlink_height,fence_backside_chainlink_gate,fence_front_metal_height,fence_front_metal_gate,fence_backside_metal_height,fence_backside_metal_gate,fence_front_hedge_height,fence_front_hedge_gate,fence_backside_hedge_height,fence_backside_hedge_gate,fence_continuity,bird_feeder,water_feature,front_patio,cats,dogs,animal_waste,religious_ornaments,flagpole,cars_in_yard,potted_plants,play_equiptment_toys,lawn_ornaments,chairs_tables,river_bed,topography,litter,plant_litter,maintenance_tools,lightpost,other_yard_feature,other_yard_feature_describe,drip_irrigation,sprinklers_ground,sprinklers_hose,hose,nutrients,watercan,flood_irrigation,management_unknown,management_other,management_other_describe,yard_human_activities,neighborhood_human_activities,animals_observed,animals_in_yard,animals_in_neighborhood,amount_grass_front,amount_grass_back,amount_veg_front,amount_veg_back,yard_type_front,yard_type_front_description,yard_type_back,yard_type_back_description,cactus_visible,food_garden_visible,palm_trees_visible,front_yard_area_m2,notes
1101??b,2,Encanto,05/09/09,ec,10/15/09,mjs,07/29/08,9:20 AM,am,jv,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,lawn,even,100,0,0,0,0,0,25,50,25,0,0,0,1,0,0,0,2,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,very large branches trimmed,1,shaped,1,10,mexican fan palm,35,6,mexican fan palm,35,1,1,1,0,0,0,0,0,0,1,3,4: mesic park,4: mesic park,4: mesic park,0,0,6,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,wall wraps around entire back yard,0,0,0,0,0,0,0,0,0,F,0,0,0,0,0,0,F,0,F,F,for sale sign,0,1,0,1,0,0,0,0,0,0,workers going in and out,traffic,0,0,0,5,6,2,5,1,0,5,0,0,0,0,424,
110a,1,South Phoenix,05/03/09,ec,09/22/09,mjs,08/12/08,10:30 AM,am,jv ec,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,lawn,patchy,0,65,0,35,0,0,0,0,0,0,100,0,0,0,0,1,10,0,0,0,2,15,0,1,0,0,0,1,0,0,0,0,0,0,1,low branches trimmed,1,cut back,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,4: none,2,2,4: none,5,1,0,0,"3, 6",0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,"3ft cement and 3ft metal make decorative front fence, 3ft chain link goes down R side of front yard , 3ft cement goes down left side of front yard, left cement separates front and back and surrounds back with a  5ft wooden gate",0,0,F,0,0,0,0,0,B,F,0,F,F,0,0,0,F,F,0,F,christmas lights,0,0,0,1,0,0,0,0,0,0,0,heavy traffic,0,0,0,5,6,4,5,6,grass with desert like plants,5,0,1,0,0,165,
11a,1,South Phoenix,08/05/08,jv,05/09/09,ec,07/24/08,9:15 AM,am,jv ec,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,lawn,even,90,10,0,0,0,0,85,0,0,5,10,1,0,0,0,0,2,0,1,0,15,7,0,1,0,0,0,1,0,0,0,0,0,0,1,branches trimmed,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4: overgrown and bare,1,1,1,1,0,0,6,1,"2, 4",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"2, 4ft cement wall is varying heights (decorative) and surrounds front yard; 6 ft cement wall surrounds backyard; 6ft wooen fence separates front and backyard at side yard",0,0,F,0,0,0,0,0,0,0,0,F,F,0,0,0,F,0,0,F,junk stashes in side yard and wall decorations,0,0,0,1,0,0,0,0,0,0,ownder with children c ame out and asked what we were doing,man selling something on street (ice cream),0,0,0,5,6,2,5,1,0,5,0,0,0,0,132,
120b,2,Encanto,05/01/09,mjs,09/23/09,mjs,05/15/08,7:30 AM,am,jv,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,lawn,patchy,85,5,0,10,0,0,95,0,0,0,5,1,0,0,0,0,2,trench dug through middle to replace old underground piping,1,0,5,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,35,washingtonian palm,45,2,washingtonian palm,45,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6ft wooden fence separates front & backyards,0,0,F,0,0,0,0,F,0,F,0,0,F,0,0,0,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,owner came out and could not communicate because she was Armenian,light traffic & walkers playing music,0,0,0,5,6,2,5,1,0,5,0,0,0,1,163,
121b,2,Encanto,05/03/09,mjs,09/23/09,mjs,05/28/08,8:35 AM,am,jv,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,lawn,even,100,0,0,0,0,0,85,0,15,0,0,1,0,0,0,0,2,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,large branches ,1,maintainance,1,35,washingtonian palm,35,2,washingtonian palm,35,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,6,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8ft cement wall & 6ft wooden gate separate front &  backyards,0,0,F,0,B,0,0,0,0,F,0,F,F,0,0,0,0,0,0,F,hanging pots,0,1,0,1,0,0,0,0,0,0,owner left,light traffic,birds,0,1,5,6,3,5,1,0,5,0,1,0,1,224,
1228??b,2,Encanto,05/09/09,ec,10/14/09,mjs,07/30/08,9:15 AM,am,jv,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,lawn,patchy,95,0,0,5,0,0,50,0,40,10,0,0,1,0,0,0,2,0,1,0,7,0,1,0,0,0,0,9,9,9,9,9,0,0,1,maintained,1,roses dead headed and other shrubs are shaped,1,20,mexican fan palm,35,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4: none,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,separates front & backyard,0,0,F,0,0,0,0,0,0,F,0,0,F,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,walkers & neighbor spoke with jv,0,0,0,4,6,4,5,2,0,5,0,0,0,1,288,
122b,2,Encanto,05/03/09,mjs,09/23/09,mjs,05/28/08,7:40 AM,am,jv,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,lawn,even,100,0,0,0,0,0,0,50,0,50,0,0,0,1,0,0,6,0,1,1,4,4,0,0,0,0,1,0,0,0,1,0,1,cracks of driveway,1,branches trimmed,0,0,1,35,washingtonian palm,40,2,washingtonian palm,40,0,1,0,0,1,1,0,0,0,1,1,1,3,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5ft wooden fence & gate separate front & backyards; 10ft veg. hedge separates right neighbor,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,F,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,neighbor came home,birds,0,1,4,6,2,5,2,0,5,0,0,0,1,215,
123b,2,Encanto,09/29/08,mjs,11/11/08,mjs,07/23/08,8:30 AM,am,jv ec,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,lawn,patchy,45,0,50,5,0,0,25,75,0,0,0,0,1,0,0,0,6,0,0,0,6,7,0,0,0,0,1,1,0,0,0,0,0,0,1,pruned up,0,0,1,12,washingtonian palm,30,2,washingtonian palm,30,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,cement wall (w/ wooden gate) separating side & front yards; 6ft veg. hedge on either side of frontyard between neighbors,0,0,F,0,0,0,0,0,0,F,0,F,F,0,0,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,walker,0,0,0,5,6,3,5,1,0,5,0,1,0,1,207,
124b,2,Encanto,04/23/09,mjs,09/22/09,mjs,05/16/08,11:00 AM,am,jv,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,lawn,even,95,5,0,0,0,0,90,5,0,0,5,1,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,major branches trimmed,0,0,1,30,washingtonian palm,40,2,washingtonian palm,40,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,1,0,0,0,0,6ft cement wall & 8ft other-metal gate separate front & backyard,0,0,F,0,B,0,0,0,0,F,0,F,F,0,0,0,F,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,birds,0,1,4,6,2,5,6,mostly grass w/ large patio area,5,0,0,0,1,299,
125b,2,Encanto,04/23/09,mjs,09/22/09,mjs,05/16/08,10:30 AM,am,jv,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,lawn,patchy,85,10,0,5,0,0,0,50,25,25,0,0,0,1,0,0,4,no weeds,1,1,5,0,1,0,0,0,0,0,1,0,0,0,1,driveway cracks,0,0,1,sized & shaped,1,30,washingtonian palm,40,3,washingtonian palm,40,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6ft cement wall separates side and front yard,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,birds,0,1,5,6,3,5,1,0,5,0,0,0,1,289,
126b,2,Encanto,04/20/09,mjs,09/22/09,mjs,07/30/08,10:15 AM,am,jv ec,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,lawn,even,50,50,0,0,0,0,0,50,0,0,50,0,0,1,0,0,3,lawnmower burned stripes into grass,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,major branches trimmed,0,0,1,40,mexican fan palm,40,2,mexican fan palm,40,0,0,0,0,0,0,0,0,0,1,1,1,1,4: trashed,0,0,5,1,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,5ft other-metal fence encloses driveway; 5ft cement wall & wooden gate enclose backyard,0,0,0,0,0,0,0,0,0,F,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,pool cleaners left,0,dog,0,1,5,6,3,5,1,0,5,0,0,0,0,411,
127b,2,Encanto,10/17/08,mjs,05/09/09,ec,08/05/08,8:40 AM,am,jv,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,lawn,even,95,5,0,0,0,0,0,35,25,35,5,0,0,1,0,0,6,0,1,0,4,7,0,0,1,0,0,0,1,0,0,0,0,0,1,cut branches on palm & pine,0,0,1,15,washingtonian palm,40,2,washingtonian palm,40,0,1,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,3,0,"5,6",0,0,0,0,0,0,0,"5,6",1,0,0,0,0,3ft cement follows walkway to back 6ft metal gate & wall that surrounds left side of backyard; 5ft wall & gate surround back pool area,0,0,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,F,for sale,1,1,0,0,0,0,0,0,0,0,0,landscapers,0,0,0,3,6,4,5,2,0,5,0,0,0,1,274,
129b,2,Encanto,05/03/09,ec,10/14/09,mjs,08/05/08,9:15 AM,am,jv,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,lawn,even,100,0,0,0,0,0,75,0,20,5,0,0,1,0,0,0,2,0,1,1,3,0,1,0,0,0,0,0,1,0,0,0,1,flowerbed,1,shaped,1,trimmed back,1,40,mexican fan palm,45,2,mexican fan palm,45,1,0,0,0,0,0,0,0,0,1,1,1,1,3,2,0,0,0,"1, 2, 3",0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,"1, 2, 3 ft cement is a tiered wall separating neighbor on Left; 2ft wooden ence separates neighbor on right, 0ft cement wall wraps around back yard and gate is an enterance large enough for cars",0,0,F,0,0,0,0,F,0,F,0,0,F,0,0,0,0,0,0,F,malibu lights,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,5,2,0,5,0,0,0,0,259,
